model,epochs,batchsize,units1,units2,units3,MSE,RMSE,MAE,AR2
double_lstm_with_attention,3500,256,32,8,4,0.0002207487174361,0.0148576147963316,0.0130146485237521,0.9677171466603172
double_lstm_with_attention,3500,256,32,8,8,0.0001342731429431,0.0115876288749321,0.0093057567798719,0.9803635544005112
double_lstm_with_attention,3500,256,32,8,16,0.000118473519728,0.0108845541814081,0.008321296083866,0.982674131444858
double_lstm_with_attention,3500,256,32,8,32,0.000346309603944,0.0186093955824472,0.0170005682852325,0.9493548035789584
double_lstm_with_attention,3500,256,32,8,64,0.0001514609339219,0.0123069465718315,0.0107899780054984,0.977849968175211
double_lstm_with_attention,3500,256,32,16,4,6.496110728579359e-05,0.0080598453636402,0.0061565719614985,0.9904999226104358
double_lstm_with_attention,3500,256,32,16,8,4.402730436482018e-05,0.00663530740545,0.0049559784633981,0.9935613351404315
double_lstm_with_attention,3500,256,32,16,16,4.457597248976603e-05,0.006676523982565,0.0048721487579503,0.9934810965197252
double_lstm_with_attention,3500,256,32,16,32,0.000121394850403,0.0110179331275468,0.0085056888923306,0.9822469086241058
double_lstm_with_attention,3500,256,32,16,64,6.45495053444991e-05,0.0080342706790659,0.0064005536438941,0.9905601163241728
double_lstm_with_attention,3500,256,32,32,4,6.86540083456523e-05,0.0082857714393804,0.0063637277113518,0.9899598633761264
double_lstm_with_attention,3500,256,32,32,8,4.028636422575514e-05,0.0063471540256838,0.0047070811321933,0.9941084197317472
double_lstm_with_attention,3500,256,32,32,16,4.6879523118988126e-05,0.0068468622827531,0.0052906510345701,0.9931442194226014
double_lstm_with_attention,3500,256,32,32,32,0.0001557873874169,0.0124814817796992,0.0111135682092317,0.977217256622982
double_lstm_with_attention,3500,256,32,32,64,0.001094094800741,0.0330771038747512,0.0317679807976339,0.8399967963472029
double_lstm_with_attention,3500,256,32,64,4,5.183292040638739e-05,0.0071995083447682,0.005303636264491,0.9924198220171736
double_lstm_with_attention,3500,256,32,64,8,0.0002615849268127,0.0161735873204665,0.0150375540702175,0.9617451556401022
double_lstm_with_attention,3500,256,32,64,16,6.914326707026037e-05,0.0083152430553929,0.006715869572377,0.989888312937079
double_lstm_with_attention,3500,256,32,64,32,0.0002025517071983,0.0142320661605532,0.0125971177976417,0.9703783236743928
double_lstm_with_attention,3500,256,32,64,64,0.0001378444577239,0.0117407179390338,0.0098655801759582,0.979841276252592
double_lstm_with_attention,3500,256,64,4,4,0.0001275026169639,0.0112917056711522,0.0093951494292335,0.9813536933229862
double_lstm_with_attention,3500,256,64,4,8,0.0001663727455296,0.0128985559474571,0.0102458858242006,0.9756692269561744
double_lstm_with_attention,3500,256,64,4,16,8.961076392888763e-05,0.0094662962096528,0.0073594271018442,0.9868950941904808
double_lstm_with_attention,3500,256,64,4,32,0.0068607943248635,0.0828299120177218,0.0723839490761225,-0.0033399947038759
double_lstm_with_attention,3500,256,64,4,64,4.595544121273487e-05,0.0067790442698609,0.0050565348180307,0.9932793595085776
double_lstm_with_attention,3500,256,64,8,4,0.000644908344325,0.0253950456649523,0.023536405261603,0.9056869650742057
double_lstm_with_attention,3500,256,64,8,8,0.0001003063436342,0.0100153054688444,0.0084743231037878,0.9853309454379
double_lstm_with_attention,3500,256,64,8,16,4.3406012260579024e-05,0.0065883239340957,0.0048251049412357,0.993652194476401
double_lstm_with_attention,3500,256,64,8,32,0.0003610964297254,0.0190025374549139,0.0176644160625123,0.9471923406047468
double_lstm_with_attention,3500,256,64,8,64,4.4929793017522725e-05,0.0067029689703535,0.0050091131940532,0.9934293529067212
double_lstm_with_attention,3500,256,64,16,4,0.0001382153997105,0.0117565045702611,0.0092186308041035,0.97978702875394
double_lstm_with_attention,3500,256,64,16,8,0.0001625189328563,0.0127482913700743,0.0100787540289452,0.9762328183137052
double_lstm_with_attention,3500,256,64,16,16,0.0001823402414869,0.0135033418636644,0.0108084195599838,0.9733340997754656
double_lstm_with_attention,3500,256,64,16,32,0.0068607944491749,0.0828299127681234,0.0723839512894006,-0.0033400128834912
double_lstm_with_attention,3500,256,64,16,64,4.387121815204806e-05,0.0066235351702884,0.0048178362842724,0.993584161584788
double_lstm_with_attention,3500,256,64,32,4,0.0005250698207707,0.0229144020382537,0.0209818773801557,0.9232124552572496
double_lstm_with_attention,3500,256,64,32,8,4.236329812310859e-05,0.0065087094053359,0.0047992722383967,0.9938046836413036
double_lstm_with_attention,3500,256,64,32,16,0.007546229414481,0.0868690359937363,0.0716051448551006,-0.1035797638359101
double_lstm_with_attention,3500,256,64,32,32,0.000127288486604,0.0112822199324451,0.0088058818100742,0.9813850082908988
double_lstm_with_attention,3500,256,64,32,64,4.0048596007129805e-05,0.0063283960058714,0.0047328565949087,0.9941431915601856
double_lstm_with_attention,3500,256,64,64,4,0.0001337090285007,0.0115632620181647,0.008988498201698,0.980446051929934
double_lstm_with_attention,3500,256,64,64,8,0.0026550138567582,0.0515268265737201,0.0461375930565233,0.6117240274461206
double_lstm_with_attention,3500,256,64,64,16,0.0001322591669609,0.011500398556612,0.0095620987909864,0.980658083365478
double_lstm_with_attention,3500,256,64,64,32,0.0140197078391554,0.1184048471945107,0.0961467851636583,-1.0502776971626964
double_lstm_with_attention,3500,256,64,64,64,0.0002194890488242,0.0148151628011383,0.0133180062117132,0.9679013637988274
double_lstm_with_attention,3500,512,4,4,4,4.2697856340447915e-05,0.0065343596733305,0.0048420524861862,0.9937557569975188
double_lstm_with_attention,3500,512,4,4,8,4.054064552098775e-05,0.0063671536435826,0.0046930056140381,0.9940712329890272
double_lstm_with_attention,3500,512,4,4,16,0.0001736054887353,0.0131759435614818,0.0118456751519654,0.9746114922120536
double_lstm_with_attention,3500,512,4,4,32,4.007419223002328e-05,0.0063304180138457,0.0046782314977042,0.994139448303512
double_lstm_with_attention,3500,512,4,4,64,4.331458689672472e-05,0.0065813818379368,0.0047870930855983,0.9936655647539142
double_lstm_with_attention,3500,512,4,8,4,4.0265745080302945e-05,0.0063455295350587,0.0046538429161356,0.9941114351279692
double_lstm_with_attention,3500,512,4,8,8,4.205579273742426e-05,0.0064850437729767,0.0047233673721467,0.9938496540102484
double_lstm_with_attention,3500,512,4,8,16,4.011041440750593e-05,0.0063332783301782,0.0046733684009422,0.9941341510802398
double_lstm_with_attention,3500,512,4,8,32,7.834933326494169e-05,0.0088515158738456,0.007287608710264,0.9885419944250168
double_lstm_with_attention,3500,512,4,8,64,4.1957443897678345e-05,0.0064774565917247,0.004829989888756,0.993864036794468
double_lstm_with_attention,3500,512,4,16,4,4.553237283572581e-05,0.0067477679891743,0.0049387002424196,0.9933412301030085
double_lstm_with_attention,3500,512,4,16,8,6.622603265417355e-05,0.0081379378625161,0.0066446365112399,0.9903149367105072
double_lstm_with_attention,3500,512,4,16,16,4.1777605530016445e-05,0.0064635598187079,0.0047587376573469,0.9938903368143076
double_lstm_with_attention,3500,512,4,16,32,9.918393395874296e-05,0.0099591131110527,0.0084442811558704,0.9854950894807862
double_lstm_with_attention,3500,512,4,16,64,4.383988362614875e-05,0.006621169354891,0.0048194620913071,0.9935887440254736
