model,epochs,batchsize,units1,units2,units3,MSE,RMSE,MAE,AR2
double_lstm_with_attention,2000,256,16,8,32,0.000255464998821,0.0159832724690854,0.0149883894268495,0.9453801750197572
double_lstm_with_attention,2000,256,16,8,64,0.0006019319527234,0.0245343015536093,0.023425859700693,0.8713036304014263
double_lstm_with_attention,2000,256,16,16,4,0.0001775758746304,0.0133257598143782,0.0121992802550321,0.9620332991298488
double_lstm_with_attention,2000,256,16,16,8,6.329320577982094e-05,0.0079557027206791,0.0062481676452532,0.9864675637050604
double_lstm_with_attention,2000,256,16,16,16,4.615893191053069e-05,0.0067940364961141,0.0052373928824215,0.9901309659097588
double_lstm_with_attention,2000,256,16,16,32,0.0019836652667232,0.0445383572521849,0.0423063867479336,0.5758814311634252
double_lstm_with_attention,2000,256,16,16,64,4.74147395065749e-05,0.0068858361515922,0.0054428589981307,0.9898624673231762
double_lstm_with_attention,2000,256,16,32,4,0.0001618720902856,0.0127228963009867,0.0114825343320733,0.9653908547887492
double_lstm_with_attention,2000,256,16,32,8,6.304422738869669e-05,0.007940039508006,0.0065561399862117,0.9865207966575582
double_lstm_with_attention,2000,256,16,32,16,0.0006212099731016,0.0249240841978517,0.020841889931235,0.8671818833758829
double_lstm_with_attention,2000,256,16,32,32,5.9903416321047087e-05,0.007739729731783,0.0063316969574311,0.9871923193773152
double_lstm_with_attention,2000,256,16,32,64,6.553146829478718e-05,0.0080951509124158,0.0067751390400585,0.9859890108411008
double_lstm_with_attention,2000,256,16,64,4,0.0004113129702368,0.0202808523054836,0.0146794920237945,0.9120590196303986
double_lstm_with_attention,2000,256,16,64,8,0.0001178044261366,0.0108537747413798,0.0061401176074575,0.9748127643036228
double_lstm_with_attention,2000,256,16,64,16,0.0006769035071991,0.0260173693366399,0.0221595981793307,0.8552742987792574
double_lstm_with_attention,2000,256,16,64,32,0.0001122881157832,0.0105966086925594,0.0079376779797505,0.9759921818654388
double_lstm_with_attention,2000,256,16,64,64,5.6639084556975704e-05,0.0075258942695852,0.0056310629772565,0.9878902515028664
double_lstm_with_attention,2000,256,32,4,4,0.0007384565226364,0.0271745565306307,0.0246319668779922,0.8421139247722197
double_lstm_with_attention,2000,256,32,4,8,0.000153658918679,0.0123959234702014,0.0112133820707702,0.9671468761527476
double_lstm_with_attention,2000,256,32,4,16,0.0032864277282889,0.0573273732896334,0.0553028931790351,0.2973436354969392
double_lstm_with_attention,2000,256,32,4,32,4.503453669984888e-05,0.0067107776523923,0.0049686566717597,0.9903713678039496
