timestamp,requests,predict
2015-03-16 10:29:00,70598,70671
2015-03-16 10:30:00,71943,70512
2015-03-16 10:31:00,71144,71194
2015-03-16 10:32:00,70004,71030
2015-03-16 10:33:00,70792,70187
2015-03-16 10:34:00,71371,70507
2015-03-16 10:35:00,70052,70934
2015-03-16 10:36:00,69817,70241
2015-03-16 10:37:00,70479,69931
2015-03-16 10:38:00,70524,70264
2015-03-16 10:39:00,69712,70394
2015-03-16 10:40:00,70948,69909
2015-03-16 10:41:00,69675,70455
2015-03-16 10:42:00,69776,69807
2015-03-16 10:43:00,69684,69779
2015-03-16 10:44:00,69239,69681
2015-03-16 10:45:00,69113,69327
2015-03-16 10:46:00,69875,69176
2015-03-16 10:47:00,69174,69586
2015-03-16 10:48:00,69337,69262
2015-03-16 10:49:00,69708,69292
2015-03-16 10:50:00,69221,69508
2015-03-16 10:51:00,69321,69233
2015-03-16 10:52:00,69640,69239
2015-03-16 10:53:00,68466,69413
2015-03-16 10:54:00,69909,68642
2015-03-16 10:55:00,70349,69308
2015-03-16 10:56:00,70318,69808
2015-03-16 10:57:00,69278,70044
2015-03-16 10:58:00,69312,69423
2015-03-16 10:59:00,68712,69273
2015-03-16 11:00:00,69798,68789
2015-03-16 11:01:00,67905,69335
2015-03-16 11:02:00,69118,68163
2015-03-16 11:03:00,68217,68739
2015-03-16 11:04:00,69603,68360
2015-03-16 11:05:00,69414,69051
2015-03-16 11:06:00,68678,69190
2015-03-16 11:07:00,69246,68780
2015-03-16 11:08:00,68938,69002
2015-03-16 11:09:00,69650,68848
2015-03-16 11:10:00,71585,69248
2015-03-16 11:11:00,70161,70211
2015-03-16 11:12:00,70013,70060
2015-03-16 11:13:00,72553,69951
2015-03-16 11:14:00,70802,71011
2015-03-16 11:15:00,70778,70672
2015-03-16 11:16:00,71938,70643
2015-03-16 11:17:00,70588,71252
2015-03-16 11:18:00,69906,70625
2015-03-16 11:19:00,72697,70044
2015-03-16 11:20:00,70601,71215
2015-03-16 11:21:00,70812,70655
2015-03-16 11:22:00,71156,70772
2015-03-16 11:23:00,70079,70995
2015-03-16 11:24:00,71097,70243
2015-03-16 11:25:00,72719,70723
2015-03-16 11:26:00,71881,71658
